iter	Passed	Remaining
0	165	165474
1	174	87022
2	181	60372
3	187	46674
4	194	38701
5	202	33597
6	209	29787
7	214	26642
8	218	24062
9	221	21954
10	224	20220
11	228	18776
12	230	17532
13	234	16488
14	237	15620
15	240	14798
16	244	14112
17	246	13465
18	249	12873
19	252	12373
20	255	11926
21	258	11485
22	260	11075
23	263	10718
24	266	10377
25	269	10095
26	272	9834
27	275	9561
28	278	9311
29	280	9073
30	283	8855
31	286	8662
32	288	8461
33	291	8274
34	294	8107
35	296	7942
36	299	7792
37	302	7660
38	305	7522
39	307	7385
40	310	7258
41	312	7138
42	315	7025
43	319	6937
44	322	6837
45	324	6733
46	327	6630
47	329	6537
48	333	6466
49	335	6383
50	338	6297
51	341	6219
52	343	6143
53	346	6065
54	350	6014
55	353	5951
56	355	5887
57	358	5819
58	361	5763
59	364	5706
60	366	5648
61	369	5595
62	372	5546
63	375	5490
64	377	5435
65	382	5408
66	384	5361
67	387	5312
68	390	5268
69	393	5221
70	396	5184
71	399	5154
72	402	5114
73	405	5073
74	408	5035
75	410	4996
76	414	4968
77	417	4934
78	420	4898
79	422	4859
80	425	4823
81	429	4809
82	433	4790
83	437	4765
84	440	4737
85	443	4708
86	446	4687
87	449	4655
88	452	4630
89	455	4604
90	458	4577
91	461	4553
92	464	4529
93	467	4504
94	470	4478
95	472	4449
96	475	4426
97	479	4414
98	482	4395
99	486	4374
100	488	4351
101	492	4334
102	496	4320
103	499	4300
104	502	4280
105	505	4262
106	509	4250
107	513	4239
108	516	4223
109	520	4208
110	523	4191
111	526	4177
112	530	4162
113	533	4146
114	536	4129
115	539	4112
116	543	4100
117	546	4084
118	549	4070
119	553	4056
120	556	4041
121	560	4031
122	563	4017
123	566	4000
124	570	3994
125	575	3991
126	578	3977
127	582	3965
128	585	3951
129	588	3939
130	592	3930
131	595	3915
132	598	3903
133	602	3892
134	605	3882
135	609	3870
136	612	3859
137	616	3849
138	619	3836
139	623	3832
140	627	3821
141	630	3810
142	633	3798
143	637	3786
144	640	3776
145	643	3762
146	646	3750
147	649	3739
148	653	3731
149	655	3717
150	659	3707
151	662	3696
152	665	3686
153	669	3675
154	671	3663
155	674	3649
156	677	3636
157	680	3625
158	683	3617
159	687	3610
160	690	3600
161	694	3593
162	697	3582
163	701	3574
164	705	3569
165	708	3557
166	711	3546
167	713	3535
168	718	3532
169	721	3521
170	724	3511
171	727	3503
172	730	3494
173	734	3484
174	736	3474
175	740	3464
176	743	3457
177	746	3447
178	749	3439
179	752	3429
180	755	3420
181	758	3410
182	762	3402
183	766	3397
184	769	3389
185	772	3380
186	775	3372
187	778	3363
188	782	3358
189	785	3348
190	788	3340
191	792	3334
192	796	3329
193	799	3321
194	803	3315
195	806	3306
196	809	3297
197	812	3290
198	816	3285
199	819	3277
200	822	3269
201	825	3260
202	828	3252
203	831	3244
204	834	3234
205	836	3224
206	839	3215
207	842	3206
208	845	3201
209	848	3193
210	851	3184
211	854	3174
212	856	3166
213	860	3160
214	863	3151
215	865	3142
216	868	3133
217	870	3123
218	873	3114
219	876	3108
220	880	3102
221	882	3092
222	885	3083
223	888	3076
224	890	3067
225	893	3060
226	896	3052
227	898	3043
228	901	3034
229	903	3026
230	906	3017
231	909	3010
232	911	3002
233	914	2994
234	917	2986
235	920	2978
236	922	2970
237	925	2962
238	927	2953
239	929	2944
240	932	2935
241	934	2927
242	936	2918
243	939	2911
244	942	2904
